# ZFIN registered line designations (allele-symbol prefix -> lab of origin).
# Source: https://zfin.org/action/feature/line-designations (fetched 2026-09-01).
# Regenerate by re-running the parser in the PR that added this file against
# a fresh copy of that page. Columns: prefix<TAB>institution<TAB>labs
a	Harvard University	Cohen Lab , Dowling Lab , Engert Lab , Robson Lab
aa	Academy of Athens	Beis Lab
aac	University Hospital RWTH Aachen	Bremer Lab
ae	Albert Einstein College of Medicine	Bowman Lab , Pereda Laboratory
af	Institute of Anatomy and Cell Biology, University of Freiburg	Heermann Lab
agu	Aoyama Gakuin University	Hirata Lab
ah	University of Science and Technology of China in Hefei, Anhui	Bing Hu Lab
ahc	Amherst College	Trapani Lab
ai	National Institute of Advanced Industrial Science and Technology	Oishi Lab
aik	University of South Carolina Aiken	DeLaurier Lab
alv	University of the Algarve	Canário Lab , Thyroid hormone in development
ama	Institut National de la Recherche Agronomique, Centre National de la Recherche Scientifique	UMS AMAGEN CNRS INRA (Closed)
amc	Academic Medical Center	Baas Lab
ams	University of Amsterdam	Huveneers Lab
amu	Adam Mickiewicz University	Anbalagan Lab
ari	Agharkar Research Institute	Cardiovascular biology Lab
aro	Agricultural Research Organization - Volcani Center.	
as	Academia Sinica Nankang	Chang-Jen Huang Lab , Chen-Hui Chen Lab , Chung Bon-chu Lab , Fish Molecular Physiology Laboratory , Hwang Lab , Jen-Leih Wu Lab , Ruey-Bing Yang Lab , Shih-Lei Lai Laboratory
asj	Academia Sinica Jiaushi	JY Chen Lab
asu	Ashland University	Mason Posner Lab
atu	Arkansas Tech University	Arkansas Tech University Zebrafish Facility
au	University of Texas at Austin	Eberhart Lab
az	Advanced Telecommunications Research Institute International	Sato Lab
b	Oregon	Adam C Miller Lab , Aquatic Animal Care Services , Eisen Lab , Grimes Lab , Guillemin Lab , Kimmel Lab , Postlethwait Zebrafish Genetics Laboratory , Stankunas Lab , Streisinger Lab , Washbourne Lab , Westerfield Lab , Weston Lab
ba	University of Bath	Bath Zebrafish Development Lab , Foley Lab
bbc	Berkeley (Advanced) Bioimaging Center	The Cell Observatory
bbu	Northeastern Illinois University	Cantú Lab
bc	Centre de Regulacio Genomica - PRBB, Barcelona	
bcm	Baylor College of Medicine	Gorelick Lab , Williams Lab
bcn	University of Barcelona -Bellvitge Campus	Barrallo Gimeno Lab
bcz	Boston College	Gonzalez-Rosa Lab , McMenamin Lab
be	Gene Expression Laboratories	Izpisúa Belmonte Lab
ber	Max Planck Institute for Infection Biology	Cronan Lab
bgu	Ben-Gurion University of the Negev	Birnbaum Lab
bhs	Baptist University College of Osteopathic Medicine	Camarata Lab
bi	University of Sydney	Becker Lab
biu	Bar-Ilan University	Appelbaum Lab , Karasik Lab
biz	Beth Israel Deaconess Medical Center	Asnani Lab , Nath Lab
bj	Capital Institute of Pediatrics, Beijing	Shuyan Yang Lab
bjz	Chinese Academy of Sciences, Beijing	Jiang Liu Laboratory , Shunji Jia Lab
bk	University of California Berkeley	Craig Miller Lab , Isacoff Lab , Ngai Lab , Richard H. Kramer Lab , Swinburne Lab
bmc	Biomedical Center	Biomedical Center, University of Iceland
bn	University of Bonn	Ben Odermatt Lab , Zebrafish Core Facility, University of Bonn
bns	Max Planck Institute, Bad Nauheim	Stainier Lab
bo	Bowdoin College	Jackman Lab
bps	Institute of Biology Paris-Seine (IBPS)	Developmental Biology Laboratory, Institute of Biology Paris-Seine (IBPS) , Mechanics of neuronal development
br	Brown University	Plavicki Lab
brn	University of Bern	Mercader Lab
bsl	University of Bristol	Hammond Lab , Martin Lab , Rebecca Richardson Lab
bsu	Boise State University	Oxford Lab
bu	Boston University	Cifuentes Lab , Feng Lab , Garcia-Marcos Lab , Hagedorn Lab , Zhdanova Lab
bw	Brigham and Women's Hospital	Bonventre Lab , David Chiang Lab , Fong Lab , MacRae Lab , Nissim Lab , Paw Lab , Vandana Gupta Lab
by	Brigham Young University	Jonathon Hill Lab , Suli Lab
bz	Technische Universität Braunschweig	Köster Lab
c	Carnegie Institute	Farber Lab
ca	University of Calgary	Childs Lab , Kurrasch Lab , McFarlane Lab , Peng Huang Lab , Vijayan Lab
cas	Chinese Academy of Science	Lin Li Lab , Weijun Pan Lab
cbg	Max Planck Institute of Molecular Cell Biology and Genetics	Elisabeth Knust Lab , Mateus Lab , Norden Lab
cbm	Centro de Biologia Molecular Severo Ochoa	Bovolenta Lab , Martin-Belmonte Lab
cc	Army Medical University, Chongqing, China	Chao Wang Lab , Chi Liu Lab
ccu	Champalimaud Center for the Unknown	Visio to Action - Orger Lab
cd	Dartmouth College	Halpern Lab , Kasper Lab , Walker Lab
cdf	Collège de France	Regeneration and morphogenesis in zebrafish
cdz	Chengdu Medical College	Sizhou Huang Lab
